,Player C,Player B,Player A,"Sum of player A, B and C"
0,0,0,1,1
1,1,1,0,2
2,1,1,2,4
3,3,3,2,8
4,5,5,6,16
5,11,11,10,32
6,21,21,22,64
7,43,43,42,128
8,85,85,86,256
9,171,171,170,512
10,341,341,342,1024
11,683,683,682,2048
12,1365,1365,1366,4096
13,2731,2731,2730,8192
14,5461,5461,5462,16384
15,10923,10923,10922,32768
16,21845,21845,21846,65536
17,43691,43691,43690,131072
18,87381,87381,87382,262144
19,174763,174763,174762,524288
20,349525,349525,349526,1048576
