a,operator,b,your answer,correct answer,correct?,time taken
8,×,1,8,8,True,1.464662790298462
14,×,1,14,14,True,2.375601053237915
1,×,0,0,0,True,2.838982582092285
18,×,8,144,144,True,13.474558353424072
5,+,1,6,6,True,3.6231675148010254
