a,operator,b,your answer,correct answer,correct?,time taken
1,×,0,0,0,True,1.933863639831543
14,×,4,56,56,True,7.23494291305542
11,×,7,77,77,True,1.7963471412658691
5,×,0,0,0,True,1.5166399478912354
12,×,9,12,108,False,5.311279773712158
