a,operator,b,your answer,correct answer,correct?,time taken
9,-,7,2,2,True,1.8919615745544434
6,-,1,5,5,True,4.7004640102386475
10,-,8,2,2,True,1.4513368606567383
2,-,0,2,2,True,0.9042866230010986
18,-,9,9,9,True,9.97434663772583
