a,operator,b,your answer,correct answer,correct?,time taken
18,+,4,22,22,True,3.929849863052368
2,-,0,2,2,True,3.3708279132843018
3,+,1,4,4,True,1.2398686408996582
17,+,7,24,24,True,2.260134696960449
12,+,3,15,15,True,2.250561475753784
