a,operator,b,your answer,correct answer,correct?,time taken
1,×,0,0,0,True,1.7020771503448486
12,+,6,18,18,True,14.700149059295654
1,+,0,1,1,True,1.393052339553833
1,×,0,0,0,True,2.160210609436035
17,×,3,21,51,False,8.209583520889282
3,+,0,3,3,True,2.010141372680664
8,+,1,9,9,True,5.520636081695557
11,×,3,33,33,True,3.4381182193756104
1,×,0,1,0,False,1.0469820499420166
17,+,4,21,21,True,14.259049892425537
