a,operator,b,your answer,correct answer,correct?,time taken
3,-,9,-6,-6,True,4.264108180999756
2,-,4,-2,-2,True,5.43916130065918
1,-,7,-6,-6,True,3.024885892868042
1,-,2,-1,-1,True,1.2184531688690186
9,-,6,3,3,True,5.773505449295044
8,-,4,4,4,True,4.644612073898315
3,-,4,-1,-1,True,1.656938076019287
6,-,1,5,5,True,1.9675161838531494
8,-,7,1,1,True,1.7919995784759521
3,-,3,0,0,True,1.6975946426391602
