a,operator,b,your answer,correct answer,correct?,time taken
15,×,7,100,105,False,6.051189661026001
2,+,0,2,2,True,5.510552883148193
2,×,1,1,2,False,1.1000006198883057
1,-,0,1,1,True,0.9109447002410889
5,-,3,2,2,True,2.5403594970703125
